"Age","Group","LifeExpectancy","Model"
45,"High Mineral + Cluster 3",35.2660154915784,"Model 1"
45,"Others",30.4479698660886,"Model 1"
46,"High Mineral + Cluster 3",34.3725382044075,"Model 1"
46,"Others",29.4537957149437,"Model 1"
47,"High Mineral + Cluster 3",33.3903694258499,"Model 1"
47,"Others",28.5034615280353,"Model 1"
48,"High Mineral + Cluster 3",32.4316941519139,"Model 1"
48,"Others",27.607686396991,"Model 1"
49,"High Mineral + Cluster 3",31.4537238404596,"Model 1"
49,"Others",27.3616460796713,"Model 1"
50,"High Mineral + Cluster 3",30.6792919633534,"Model 1"
50,"Others",26.6194011856735,"Model 1"
51,"High Mineral + Cluster 3",29.6984744941015,"Model 1"
51,"Others",25.655184458292,"Model 1"
52,"High Mineral + Cluster 3",28.6514730094259,"Model 1"
52,"Others",24.5209299053413,"Model 1"
53,"High Mineral + Cluster 3",27.6897852313854,"Model 1"
53,"Others",23.7475430242235,"Model 1"
54,"High Mineral + Cluster 3",27.0609679306248,"Model 1"
54,"Others",23.1410883395826,"Model 1"
55,"High Mineral + Cluster 3",26.0288765996431,"Model 1"
55,"Others",21.7505273418966,"Model 1"
56,"High Mineral + Cluster 3",25.5426900930984,"Model 1"
56,"Others",20.9357516393613,"Model 1"
57,"High Mineral + Cluster 3",24.8218919231129,"Model 1"
57,"Others",20.4446962496063,"Model 1"
58,"High Mineral + Cluster 3",23.568921304616,"Model 1"
58,"Others",19.1698914435835,"Model 1"
59,"High Mineral + Cluster 3",22.0842180639785,"Model 1"
59,"Others",20.3603509611537,"Model 1"
60,"High Mineral + Cluster 3",21.2652877271195,"Model 1"
60,"Others",19.4671385784419,"Model 1"
61,"High Mineral + Cluster 3",19.8241283856264,"Model 1"
61,"Others",18.9437656156858,"Model 1"
62,"High Mineral + Cluster 3",20.4480768214114,"Model 1"
62,"Others",18.049379252107,"Model 1"
63,"High Mineral + Cluster 3",19.8419721270686,"Model 1"
63,"Others",17.5183035020945,"Model 1"
64,"High Mineral + Cluster 3",18.838729660176,"Model 1"
64,"Others",16.700418406103,"Model 1"
65,"High Mineral + Cluster 3",18.3017186041735,"Model 1"
65,"Others",16.2881564889037,"Model 1"
66,"High Mineral + Cluster 3",17.7487720100416,"Model 1"
66,"Others",15.5467642629973,"Model 1"
67,"High Mineral + Cluster 3",17.2311581077904,"Model 1"
67,"Others",15.1672989627736,"Model 1"
68,"High Mineral + Cluster 3",16.5589624921913,"Model 1"
68,"Others",14.2082631977648,"Model 1"
69,"High Mineral + Cluster 3",15.590555409925,"Model 1"
69,"Others",14.0533638540438,"Model 1"
70,"High Mineral + Cluster 3",14.751176868006,"Model 1"
70,"Others",12.948829721594,"Model 1"
71,"High Mineral + Cluster 3",13.4859964709013,"Model 1"
71,"Others",12.5764185974468,"Model 1"
72,"High Mineral + Cluster 3",12.9512023836839,"Model 1"
72,"Others",11.8126340860744,"Model 1"
73,"High Mineral + Cluster 3",12.7088897037771,"Model 1"
73,"Others",12.0906049713767,"Model 1"
74,"High Mineral + Cluster 3",11.8705825377955,"Model 1"
74,"Others",12.0581026374619,"Model 1"
75,"High Mineral + Cluster 3",10.777962583047,"Model 1"
75,"Others",11.7934032199149,"Model 1"
76,"High Mineral + Cluster 3",10.6162282755456,"Model 1"
76,"Others",11.0574523471401,"Model 1"
77,"High Mineral + Cluster 3",9.17584556472566,"Model 1"
